element,Flag action
"<(3006,0085)>",retired
"<(3006,0088)>",retired
"<(3006,00b9)>",retired
"<(3006,00c0)>",retired
"<(3006,00c2)>",retired
"<(3006,00c4)>",retired
"<(3008,002b)>",retired
"<(300a,000b)>",retired
"<(300a,0082)>",retired
"<(300a,0088)>",retired
"<(300a,0089)>",retired
"<(300a,008a)>",retired
"<(300a,008d)>",retired
"<(300a,008e)>",retired
"<(300a,008f)>",retired
"<(300a,0632)>",retired
"<(300a,0650)>",retired
"<(3010,0090)>",retired
"<(4000,0010)>",retired
"<(4000,4000)>",retired
"<(4008,0040)>",retired
"<(4008,0042)>",retired
"<(4008,0050)>",retired
"<(4008,00ff)>",retired
"<(4008,0100)>",retired
"<(4008,0101)>",retired
"<(4008,0102)>",retired
"<(4008,0103)>",retired
"<(4008,0108)>",retired
"<(4008,0109)>",retired
"<(4008,010a)>",retired
"<(4008,010b)>",retired
"<(4008,010c)>",retired
"<(4008,0111)>",retired
"<(4008,0112)>",retired
"<(4008,0113)>",retired
"<(4008,0114)>",retired
"<(4008,0115)>",retired
"<(4008,0117)>",retired
"<(4008,0118)>",retired
"<(4008,0119)>",retired
"<(4008,011a)>",retired
"<(4008,0200)>",retired
"<(4008,0202)>",retired
"<(4008,0210)>",retired
"<(4008,0212)>",retired
"<(4008,0300)>",retired
"<(4008,4000)>",retired
"<(50xx,0005)>",retired
"<(50xx,0010)>",retired
"<(50xx,0020)>",retired
"<(50xx,0022)>",retired
"<(50xx,0030)>",retired
"<(50xx,0040)>",retired
"<(50xx,0103)>",retired
"<(50xx,0104)>",retired
"<(50xx,0105)>",retired
"<(50xx,0106)>",retired
"<(50xx,0110)>",retired
"<(50xx,0112)>",retired
"<(50xx,0114)>",retired
"<(50xx,1001)>",retired
"<(50xx,2000)>",retired
"<(50xx,2002)>",retired
"<(50xx,2004)>",retired
"<(50xx,2006)>",retired
"<(50xx,2008)>",retired
"<(50xx,200a)>",retired
"<(50xx,200c)>",retired
"<(50xx,200e)>",retired
"<(50xx,2500)>",retired
"<(50xx,2600)>",retired
"<(50xx,2610)>",retired
"<(50xx,3000)>",retired
"<(60xx,0012)>",retired
"<(60xx,0052)>",retired
"<(60xx,0060)>",retired
"<(60xx,0061)>",retired
"<(60xx,0062)>",retired
"<(60xx,0063)>",retired
"<(60xx,0066)>",retired
"<(60xx,0068)>",retired
"<(60xx,0069)>",retired
"<(60xx,0110)>",retired
"<(60xx,0200)>",retired
"<(60xx,0800)>",retired
"<(60xx,0802)>",retired
"<(60xx,0803)>",retired
"<(60xx,0804)>",retired
"<(60xx,1100)>",retired
"<(60xx,1101)>",retired
"<(60xx,1102)>",retired
"<(60xx,1103)>",retired
"<(60xx,1200)>",retired
"<(60xx,1201)>",retired
"<(60xx,1202)>",retired
"<(60xx,1203)>",retired
"<(60xx,4000)>",retired
"<(7fe0,0020)>",retired
"<(7fe0,0030)>",retired
"<(7fe0,0040)>",retired
"<(7fxx,0010)>",retired
"<(7fxx,0011)>",retired
"<(7fxx,0020)>",retired
"<(7fxx,0030)>",retired
"<(7fxx,0040)>",retired
